ppl,trial,n_eff,num_unique,compile_time,inference_time
stan,0,3.0030086040496826,93,55.924980878829956,0.38233494758605957
stan,1,3.2329845428466797,95,57.76445460319519,0.2839071750640869
stan,2,2.540788173675537,95,57.88602805137634,0.33603477478027344
stan,3,2.6493711471557617,94,57.961814165115356,0.28717541694641113
stan,4,2.4786176681518555,95,57.97548151016235,0.3746955394744873
stan,5,2.425856351852417,94,59.49952840805054,0.3944220542907715
stan,6,2.3843820095062256,95,57.54046034812927,0.37543463706970215
stan,7,2.492480516433716,94,57.37716484069824,0.4588799476623535
stan,8,2.424232006072998,94,59.34755492210388,0.3226191997528076
stan,9,,94,68.92377662658691,0.6691586971282959
