ppl,trial,sample,log_predictive,average_log_predictive
stan,0,1,5.20535460683288,5.20535460683288
stan,0,2,5.20535460683288,5.20535460683288
stan,0,3,5.20535460683288,5.20535460683288
stan,0,4,5.20535460683288,5.20535460683288
stan,0,5,5.20535460683288,5.205354606832881
stan,0,6,5.20511861088669,5.205320896535931
stan,0,7,5.204770898060119,5.205252163267058
stan,0,8,5.20051064094783,5.2047264363137735
stan,0,9,5.198532113238113,5.204108727790387
stan,0,10,5.198025273792535,5.203557213256225
stan,0,11,5.197487378220665,5.203052798493644
stan,0,12,5.1973435845657905,5.202614783553164
stan,0,13,5.196650591918555,5.2021899475266675
stan,0,14,5.195143425955525,5.2017217210557956
stan,0,15,5.176170470706075,5.200143752984905
stan,0,16,5.175525730246959,5.198712289482619
stan,0,17,5.175489248252047,5.197436172160743
stan,0,18,5.1753269825276735,5.19628463714557
stan,0,19,5.175238231216305,5.195242770794152
stan,0,20,5.174012093618245,5.194241941901252
stan,0,21,5.173457376500684,5.193306502011035
stan,0,22,5.173269434617471,5.1924436229061826
stan,0,23,5.172750624847091,5.191630777736982
stan,0,25,5.172422719302549,5.190174808175717
stan,0,26,5.172280945682087,5.18951775095398
stan,0,27,5.1720354934836275,5.188898618994058
stan,0,28,5.171482450785352,5.1883030836503305
stan,0,30,5.170641599852587,5.187184684436173
stan,0,31,5.169600562866437,5.186639835310755
stan,0,33,5.167319841968982,5.18551618463519
stan,0,34,5.167083625533094,5.184994227911922
stan,0,36,5.163250508994115,5.183915631661067
stan,0,38,5.162516315297029,5.182841758243552
stan,0,39,5.162425405700545,5.182336396821055
stan,0,41,5.160698013922531,5.18132076807691
stan,0,43,5.160034201942979,5.180365191083526
stan,0,45,5.1579076464203055,5.179425681598161
stan,0,47,5.12595965672943,5.177875103620817
stan,0,50,5.125192031975422,5.17487882203247
stan,0,52,5.123886285962897,5.1730028168381335
stan,0,54,5.122622671487269,5.171234257118258
stan,0,57,5.119784428409267,5.168669091179178
stan,0,60,5.1189387258985315,5.166300870665856
stan,0,63,5.118569372057938,5.164119713907415
stan,0,66,5.1166486043675565,5.162087352186428
stan,0,69,5.115498799679425,5.160148382055744
stan,0,72,5.113767050965151,5.158307161702879
stan,0,75,5.112587815982097,5.1565605920101145
stan,0,79,5.109516054505689,5.15431003626113
stan,0,83,5.103000739721987,5.15212303273394
stan,0,87,5.091316992542152,5.149512399835839
stan,0,91,5.087881549437933,5.146972027342526
stan,0,95,5.079652469321594,5.144340220129905
stan,1,1,5.381721689931017,5.381721689931017
stan,1,2,5.381721689931017,5.381721689931017
stan,1,3,5.381721689931017,5.381721689931017
stan,1,4,5.381721689931017,5.381721689931017
stan,1,5,5.381721689931017,5.381721689931018
stan,1,6,5.381653465570473,5.381711943878765
stan,1,7,5.380665885819942,5.381581246446876
stan,1,8,5.380130321863643,5.381420136524808
stan,1,9,5.3801017697747575,5.381288378036401
stan,1,10,5.378132249347358,5.381001868510053
stan,1,11,5.378026842613146,5.380754287456673
stan,1,12,5.377811106187517,5.380528196180185
stan,1,13,5.377637799565201,5.380322016109364
stan,1,14,5.3776057416221175,5.380141160505868
stan,1,15,5.3775722253841876,5.379980795258573
stan,1,16,5.37733182931866,5.37982516782422
stan,1,17,5.376520309918418,5.379641850863028
stan,1,18,5.37642036709939,5.379472557567812
stan,1,19,5.376285851809518,5.379313463232942
stan,1,20,5.375974656845875,5.379154724978923
stan,1,21,5.375756941426611,5.379000530472556
stan,1,22,5.375226608932153,5.378836742744932
stan,1,23,5.375221022256234,5.37868634845117
stan,1,25,5.375212437618102,5.378418983422705
stan,1,26,5.375178204129374,5.378299141662843
