ppl,trial,n_eff,num_unique,compile_time,inference_time
stan,0,2.5365617275238037,95,47.73570942878723,0.32260751724243164
stan,1,2.5509142875671387,95,46.02336144447327,0.36195898056030273
stan,2,2.6050801277160645,93,47.16613173484802,0.2819082736968994
stan,3,9.009090423583984,95,47.262999534606934,0.2870216369628906
stan,4,2.8494603633880615,92,46.52166247367859,0.32301998138427734
stan,5,2.650909423828125,94,47.00061845779419,0.24826550483703613
stan,6,3.043797254562378,96,46.81726384162903,0.29372668266296387
stan,7,5.216377258300781,95,46.8706316947937,0.31479620933532715
stan,8,2.5416738986968994,94,48.00931239128113,0.3528165817260742
stan,9,2.464346170425415,95,46.46960115432739,0.3016073703765869
