ppl,trial,n_eff,num_unique,compile_time,inference_time
stan,0,10.558769226074219,95,46.54489874839783,0.4485349655151367
stan,1,14.920955657958984,92,46.54489874839783,0.535761833190918
stan,2,16.0682315826416,95,46.54489874839783,0.5278306007385254
stan,3,14.400312423706055,91,46.54489874839783,0.4709327220916748
stan,4,11.003687858581543,92,46.54489874839783,0.46120309829711914
stan,5,14.653307914733887,93,46.54489874839783,0.5167202949523926
stan,6,18.401323318481445,92,46.54489874839783,0.4801042079925537
stan,7,17.988187789916992,93,46.54489874839783,0.4573032855987549
stan,8,17.29583168029785,93,46.54489874839783,0.4566926956176758
stan,9,16.010103225708008,93,46.54489874839783,0.5348641872406006
