ppl,trial,sample,log_predictive,average_log_predictive
stan,0,1,-351.36851151207674,-351.36851151207674
stan,0,2,-351.36851151207674,-351.36851151207674
stan,0,3,-351.36851151207674,-351.36851151207674
stan,0,4,-333.24346015970275,-334.85289801837797
stan,0,5,-327.26350113027087,-329.0527348618237
stan,0,6,-280.6011113092642,-282.5470214583195
stan,0,7,-232.82396467887787,-234.9034062205577
stan,0,8,-214.83080950684334,-217.02803406884496
stan,0,9,-214.83080950684334,-216.44024741161013
stan,0,10,-234.84027678243604,-216.5355575903936
stan,0,11,-221.31184922525287,-216.62180315231268
stan,0,12,-217.26490495040557,-216.65897321721366
stan,0,13,-210.64681120545916,-213.25453049537558
stan,0,14,-192.21747901200254,-194.92552920287528
stan,0,15,-180.04958414917957,-182.8221676768532
stan,0,16,-183.488498685514,-182.851197374099
stan,0,17,-187.62503948261121,-182.90785897842028
stan,0,18,-196.09854051859097,-182.96192609591688
stan,0,19,-197.30914332321225,-183.01321935937804
stan,0,20,-186.8431586357085,-183.06092456562936
stan,0,21,-185.7367450202218,-183.10417135760304
stan,0,22,-198.95939695183185,-183.1486231142618
stan,0,23,-182.58998858430735,-183.11792080584752
stan,0,25,-190.0666734158001,-183.19694087266402
stan,0,26,-185.97415877415597,-183.23229131466493
stan,0,27,-192.96481811221042,-183.2686567617194
stan,0,28,-183.75172099585893,-183.28195548187787
stan,0,30,-191.84395235048925,-183.31201720338024
stan,0,31,-194.10690715523742,-183.3437652402753
stan,0,33,-187.0344729667162,-183.4036082146224
stan,0,34,-201.61017277658425,-183.4325957511313
stan,0,36,-181.44357113450536,-183.29852692148873
stan,0,38,-195.97360473297314,-183.35064970998155
stan,0,39,-192.63257347206905,-183.3759651309978
stan,0,41,-184.3853458594287,-183.40996438976913
stan,0,43,-192.65516598603386,-183.45646791144486
stan,0,45,-180.71113298086942,-183.1979599621092
stan,0,47,-194.8710530785925,-183.0083202030075
stan,0,50,-194.8730875150398,-183.06757156386618
stan,0,52,-194.10915834328154,-183.10603736239597
stan,0,54,-185.67199500444343,-183.14162898964523
stan,0,57,-179.63328697888448,-182.71984812591523
stan,0,60,-190.69399642604537,-182.76977041292133
stan,0,63,-184.16708537749867,-182.81373438295438
stan,0,66,-181.4265062237978,-182.79136170797133
stan,0,69,-186.64684167355205,-182.8348200469223
stan,0,72,-188.27038803403383,-182.87160382247095
stan,0,75,-194.01253809449173,-182.91187693746977
stan,0,79,-185.27282222557406,-182.9617895446567
stan,0,83,-185.25079594331143,-183.00721847638715
stan,0,87,-196.23555331615268,-183.0535031959248
stan,0,91,-180.04043789809623,-182.72614737156104
stan,0,95,-197.2342468110951,-182.76685103938948
stan,1,1,-607.9420454053098,-607.9420454053098
stan,1,2,-607.9420454053098,-607.9420454053098
stan,1,3,-607.9420454053098,-607.9420454053098
stan,1,4,-451.11297738765705,-452.72241530009114
stan,1,5,-393.3758397196153,-395.1675991888434
stan,1,6,-368.28893928429613,-370.2348494333387
stan,1,7,-211.83776015796923,-213.91720169964907
stan,1,8,-211.83776015796923,-213.3418375547455
stan,1,9,-194.80811015936666,-197.1106951719809
stan,1,10,-183.67893800904352,-186.07681860411526
stan,1,11,-182.46401456222722,-184.6890700375968
stan,1,12,-194.77274894068182,-184.76910926564972
stan,1,13,-188.3311332048001,-184.8410364386699
stan,1,14,-188.3311332048001,-184.907853256561
stan,1,15,-190.48813606893643,-184.9721403760532
stan,1,16,-193.0899005731125,-185.032746360805
stan,1,17,-181.94600836371023,-184.26198234899428
stan,1,18,-184.33590124090088,-184.26573955532106
stan,1,19,-186.37740457736965,-184.31068272447217
stan,1,20,-188.2111817586913,-184.35846180932666
stan,1,21,-189.47756018462,-184.40469703630555
stan,1,22,-179.6794053573347,-182.636670720583
stan,1,23,-179.6794053573347,-182.07123213464953
stan,1,25,-187.46793646273596,-182.15108604097227
stan,1,26,-193.87522830892428,-182.18882605757113
stan,1,27,-179.38429772159947,-181.74782645161812
stan,1,28,-201.76399515346773,-181.78291777135692
stan,1,30,-194.18228984353982,-181.84960873865148
stan,1,31,-192.2907024792625,-181.88135649479733
stan,1,33,-191.32656359808078,-181.94197605528916
stan,1,34,-189.39536085294253,-181.97094654887007
stan,1,36,-181.40600465353748,-181.9774719674025
stan,1,38,-188.0075376519137,-182.01442404087317
stan,1,39,-188.0075376519137,-182.03967785396318
stan,1,41,-182.3779870106664,-182.0707588141746
stan,1,43,-185.32874571435468,-182.0068039910656
stan,1,45,-188.50262107075628,-182.05115719245762
stan,1,47,-185.96008401398137,-182.0928449253521
stan,1,50,-181.7024324715642,-182.10270506918795
stan,1,52,-179.48570985288913,-181.90254865421824
stan,1,54,-191.070514981775,-181.93958795369517
stan,1,57,-210.28116139968526,-181.99268819648103
stan,1,60,-182.26556821678037,-182.0300805579351
stan,1,63,-198.85219996033163,-181.27697730421062
stan,1,66,-191.11877075396296,-181.322748925164
stan,1,69,-184.22657317276273,-181.36573336307762
stan,1,72,-194.32331680078184,-181.40768766668012
stan,1,75,-192.85792203813224,-181.44783520696666
stan,1,79,-205.48553736260882,-181.4326380990201
stan,1,83,-188.98927922966698,-181.48139744264535
stan,1,87,-192.68797035721187,-181.52672518023832
stan,1,91,-196.91548998021798,-181.57092977747163
stan,1,95,-190.507151116748,-180.23514047329866
stan,2,1,-1416.5810685798879,-1416.5810685798879
stan,2,2,-1416.5810685798879,-1416.5810685798879
stan,2,3,-1416.5810685798879,-1416.5810685798879
stan,2,4,-1116.6464351592176,-1118.2558730716516
stan,2,5,-560.5163073578069,-562.308066827035
stan,2,6,-316.07482364404916,-318.02073379310445
stan,2,7,-316.07482364404916,-317.46111800516906
stan,2,8,-262.25055705014404,-264.44778162748025
stan,2,9,-215.43853003447623,-217.74111512747027
stan,2,10,-213.37505733062926,-215.65338260743326
stan,2,11,-203.19982271006396,-205.68468641896436
stan,2,12,-185.12594485923813,-187.69089420255366
stan,2,13,-178.31418940138497,-180.95214657750842
stan,2,14,-183.71741070931458,-181.01665242593145
stan,2,15,-196.47823495488012,-181.08119093421533
stan,2,16,-192.75626216249083,-181.1418150245836
stan,2,17,-189.72579204868282,-181.19896243380902
stan,2,18,-189.72579204868282,-181.2530186505859
stan,2,19,-192.6504169837852,-181.30431135420255
stan,2,20,-194.98970591804863,-181.353101461424
stan,2,21,-181.6153739120574,-181.36364313015181
stan,2,22,-192.32588002431524,-181.408094104338
stan,2,23,-191.17205431232657,-181.45065121934635
stan,2,25,-194.6683765201543,-181.53069216140898
stan,2,26,-180.9588385925788,-181.5025169949996
stan,2,27,-187.92842568402116,-181.53882467573183
stan,2,28,-191.15611376855605,-181.57391361812333
stan,2,30,-190.3109600166859,-181.64050639080173
stan,2,31,-190.53477697081462,-181.67225066420357
