ppl,trial,sample,log_predictive,average_log_predictive
stan,0,1,0.0,0.0
stan,0,2,0.0,0.0
stan,0,3,0.0,0.0
stan,0,4,0.0,0.0
stan,0,5,0.0,0.0
stan,0,6,0.0,0.0
stan,0,7,0.0,0.0
stan,0,8,0.0,0.0
stan,0,9,0.0,0.0
stan,0,10,0.0,0.0
stan,0,11,0.0,0.0
stan,0,12,-7.645924402814835,-0.08000287611247581
stan,0,13,0.0,-0.07407120450256954
stan,0,14,0.0,-0.06895873005176423
stan,0,15,0.0,-0.06450665576179926
stan,0,16,0.0,-0.0605947479969009
stan,0,17,0.0,-0.05713029727921226
stan,0,18,0.0,-0.054040666719952224
stan,0,19,0.0,-0.05126813742755898
stan,0,20,0.0,-0.048766265042409884
stan,0,21,0.0,-0.046497254548586664
stan,0,22,0.0,-0.04443003606812068
stan,0,23,0.0,-0.04253883253682034
stan,0,25,0.0,-0.039201593805970436
stan,0,26,0.0,-0.03772194398828832
stan,0,27,0.0,-0.03634994105897649
stan,0,28,0.0,-0.03507424894797184
stan,0,30,-1.8320737869933414e-08,-0.032773890618861046
stan,0,31,0.0,-0.031733280048557244
stan,0,33,0.0,-0.02983847931725636
stan,0,34,0.0,-0.028973479032904148
stan,0,36,0.0,-0.027385697333712322
stan,0,38,0.0,-0.02596290832627446
stan,0,39,-1.1930203535649778e-05,-0.02530585831724963
stan,0,41,-4.440892098500625e-16,-0.024086475794868445
stan,0,43,-2.2621366976231958e-09,-0.022978957695753532
stan,0,45,0.0,-0.0219688155443043
stan,0,47,0.0,-0.021043747432966775
stan,0,50,0.0,-0.01979354523457344
stan,0,52,0.0,-0.01903946221762487
stan,0,54,0.0,-0.018340729349065832
stan,0,57,0.0,-0.01738377598671903
stan,0,60,0.0,-0.016521733560810326
stan,0,63,0.0,-0.015741148975982888
stan,0,66,0.0,-0.01503099702016808
stan,0,69,0.0,-0.014382156252151113
stan,0,72,0.0,-0.013787015148186477
stan,0,75,0.0,-0.013239172044473335
stan,0,79,0.0,-0.012573034067800748
stan,0,83,0.0,-0.011970719925648687
stan,0,87,0.0,-0.01142347624769613
stan,0,91,0.0,-0.010924080387599844
stan,0,95,0.0,-0.010466519833554067
stan,1,1,0.0,0.0
stan,1,2,0.0,0.0
stan,1,3,0.0,0.0
stan,1,4,0.0,0.0
stan,1,5,0.0,0.0
stan,1,6,0.0,0.0
stan,1,7,0.0,0.0
stan,1,8,0.0,0.0
stan,1,9,0.0,0.0
stan,1,10,0.0,0.0
stan,1,11,0.0,0.0
stan,1,12,0.0,0.0
stan,1,13,0.0,0.0
stan,1,14,0.0,0.0
stan,1,15,0.0,0.0
stan,1,16,0.0,0.0
stan,1,17,0.0,0.0
stan,1,18,0.0,0.0
stan,1,19,-1.6206147534927017e-11,-8.100187187665142e-13
stan,1,20,-18.228421650628206,-0.04879016356425003
stan,1,21,-2.447508469600614,-0.09099406415849609
stan,1,22,0.0,-0.0868607700027515
stan,1,23,0.0,-0.08308686661158715
stan,1,25,0.0,-0.0764446522053821
stan,1,26,0.0,-0.07350665959749891
stan,1,27,0.0,-0.07078623102785997
stan,1,28,0.0,-0.06826005374218402
stan,1,30,0.0,-0.06371275053222636
stan,1,31,0.0,-0.061659041828037164
stan,1,33,0.0,-0.05792486725550594
stan,1,34,0.0,-0.05622244920878483
stan,1,36,0.0,-0.05310121874348894
stan,1,38,0.0,-0.050308384974607545
stan,1,39,0.0,-0.049019332595230836
stan,1,41,0.0,-0.046629777741541645
stan,1,43,0.0,-0.04446239898633708
stan,1,45,-1.8288415111199505,-0.06171102357714897
stan,1,47,-1.8288415111199505,-0.09687101920103292
stan,1,50,0.0,-0.10909499825047275
stan,1,52,0.0,-0.10475468411845101
stan,1,54,0.0,-0.10074679304287049
stan,1,57,0.0,-0.11441519660916333
stan,1,60,0.0,-0.10847137710628107
stan,1,63,0.0,-0.1031151377559274
stan,1,66,-5.911076726322282e-07,-0.09826340987933868
stan,1,69,0.0,-0.09384802826773697
stan,1,72,0.0,-0.08981264132653521
stan,1,75,0.0,-0.08611018940006243
stan,1,79,0.0,-0.08162394665124229
stan,1,83,0.0,-0.07758223503603112
stan,1,87,0.0,-0.07392207352382218
