ppl,trial,sample,log_predictive,average_log_predictive
stan,0,1,0.0,0.0
stan,0,2,0.0,0.0
stan,0,3,0.0,0.0
stan,0,4,0.0,0.0
stan,0,5,0.0,0.0
stan,0,6,0.0,0.0
stan,0,7,0.0,0.0
stan,0,8,0.0,0.0
stan,0,9,-23.035741542490953,-0.10536051564682491
stan,0,10,0.0,-0.09531017979442336
stan,0,11,0.0,-0.08701137698062844
stan,0,12,0.0,-0.0800427076652852
stan,0,13,0.0,-0.0741079721461051
stan,0,14,0.0,-0.06899287147987909
stan,0,15,0.0,-0.06453852113097014
stan,0,16,0.0,-0.06062462181024664
stan,0,17,0.0,-0.05715841383412412
stan,0,18,0.0,-0.05406722126477481
stan,0,19,0.0,-0.051293294382339205
stan,0,20,0.0,-0.04879016416448145
stan,0,21,0.0,-0.04652001563017816
stan,0,22,0.0,-0.04445176256633321
stan,0,23,0.0,-0.042559614414491076
stan,0,25,0.0,-0.03922071314932074
stan,0,26,0.0,-0.03774032797903892
stan,0,27,0.0,-0.03636764416720739
stan,0,28,0.0,-0.035091319807734056
stan,0,30,-95.19084473477892,-0.06669137449525797
stan,0,31,-95.19084473477892,-0.09844007280983824
stan,0,33,0.0,-0.0923733201278214
stan,0,34,0.0,-0.08961215868659256
stan,0,36,0.0,-0.08455738802515089
stan,0,38,0.0,-0.0800427076707857
stan,0,39,0.0,-0.07796154146703582
stan,0,41,0.0,-0.07410797215118325
stan,0,43,-1.734168364464344e-13,-0.07061756722188273
stan,0,45,0.0,-0.0674412808030933
stan,0,47,0.0,-0.06453852114479597
stan,0,50,0.0,-0.060624621823207825
stan,0,52,0.0,-0.058268908130477914
stan,0,54,0.0,-0.05608946665729597
stan,0,57,-0.5891063569300932,-0.07769189226797923
stan,0,60,0.0,-0.07372650542030712
stan,0,63,0.0,-0.07014640546369932
stan,0,66,0.0,-0.06689802089247632
stan,0,69,0.0,-0.06393727517453751
stan,0,72,0.0,-0.06122757177742688
stan,0,75,0.0,-0.05873827157183076
stan,0,79,-2.8865798640254027e-15,-0.055717955221118665
stan,0,83,0.0,-0.05299313651362869
stan,0,87,0.0,-0.050522445364356905
stan,0,91,0.0,-0.04827191572512923
stan,0,95,0.0,-0.04621337014661364
stan,1,1,0.0,0.0
stan,1,2,0.0,0.0
stan,1,3,0.0,0.0
stan,1,4,0.0,0.0
stan,1,5,0.0,0.0
stan,1,6,0.0,0.0
stan,1,7,0.0,0.0
stan,1,8,0.0,0.0
stan,1,9,0.0,0.0
stan,1,10,0.0,0.0
stan,1,11,0.0,0.0
stan,1,12,0.0,0.0
stan,1,13,0.0,0.0
stan,1,14,0.0,0.0
stan,1,15,0.0,0.0
stan,1,16,0.0,0.0
stan,1,17,0.0,0.0
stan,1,18,0.0,0.0
stan,1,19,0.0,0.0
stan,1,20,0.0,0.0
stan,1,21,0.0,0.0
stan,1,22,0.0,0.0
stan,1,23,0.0,0.0
stan,1,25,0.0,0.0
stan,1,26,0.0,0.0
stan,1,27,0.0,0.0
stan,1,28,0.0,0.0
stan,1,30,-2.2204460492503128e-16,0.0
stan,1,31,0.0,0.0
stan,1,33,0.0,0.0
stan,1,34,0.0,0.0
stan,1,36,0.0,0.0
stan,1,38,0.0,0.0
stan,1,39,0.0,0.0
stan,1,41,0.0,0.0
stan,1,43,0.0,0.0
stan,1,45,0.0,0.0
stan,1,47,0.0,0.0
stan,1,50,0.0,0.0
stan,1,52,0.0,0.0
stan,1,54,0.0,0.0
stan,1,57,0.0,0.0
stan,1,60,0.0,0.0
stan,1,63,0.0,0.0
stan,1,66,0.0,0.0
stan,1,69,0.0,0.0
stan,1,72,0.0,0.0
stan,1,75,0.0,0.0
stan,1,79,0.0,0.0
stan,1,83,0.0,0.0
stan,1,87,0.0,0.0
stan,1,91,0.0,0.0
stan,1,95,0.0,0.0
stan,2,1,0.0,0.0
stan,2,2,0.0,0.0
stan,2,3,0.0,0.0
stan,2,4,0.0,0.0
stan,2,5,0.0,0.0
stan,2,6,0.0,0.0
stan,2,7,0.0,0.0
stan,2,8,0.0,0.0
stan,2,9,0.0,0.0
stan,2,10,0.0,0.0
stan,2,11,0.0,0.0
stan,2,12,0.0,0.0
stan,2,13,0.0,0.0
