ppl,trial,sample,log_predictive,average_log_predictive
stan,0,1,5.13283487769863,5.13283487769863
stan,0,2,5.13283487769863,5.13283487769863
stan,0,3,5.13283487769863,5.13283487769863
stan,0,4,5.13283487769863,5.13283487769863
stan,0,5,5.13283487769863,5.132834877698631
stan,0,6,5.132045175581499,5.132722101284684
stan,0,7,5.129991618622832,5.132381198398319
stan,0,8,5.129341042092786,5.132043859315896
stan,0,9,5.128972497648674,5.131737147298464
stan,0,10,5.128794908380827,5.131470028464074
stan,0,11,5.128548790685809,5.131226917655457
stan,0,12,5.128349216622975,5.131005849804854
stan,0,13,5.1278396349148805,5.130780023756813
stan,0,14,5.125847696717936,5.130451957743173
stan,0,15,5.1257101175174125,5.130156250560461
stan,0,16,5.1256074606948685,5.129889246695159
stan,0,17,5.124822686131879,5.129608443540623
stan,0,18,5.124822686131879,5.129357131758235
stan,0,19,5.121610927760506,5.128971243339048
stan,0,20,5.120895239367225,5.128588147078311
stan,0,21,5.1202994035980005,5.128212872737141
stan,0,22,5.119909449423923,5.127853284392483
stan,0,23,5.1195420109708785,5.127508356983661
stan,0,25,5.117198282587551,5.1267269321634945
stan,0,26,5.116652016803348,5.126355591617255
stan,0,27,5.11597213736909,5.125986604539621
stan,0,28,5.114529479252761,5.125593708663892
stan,0,30,5.1118710177773865,5.124789974839579
stan,0,31,5.110631049398927,5.124350529570414
stan,0,33,5.105647320180709,5.123395904025274
stan,0,34,5.104904156297729,5.122872286265251
stan,0,36,5.100455981775702,5.121730325802524
stan,0,38,5.099652650925379,5.12061428214754
stan,0,39,5.098844486427486,5.120075773579389
stan,0,41,5.096526872161715,5.1189787522829615
stan,0,43,5.0913472738377985,5.117812023406872
stan,0,45,5.0881206451806635,5.116587922003971
stan,0,47,5.087331676519884,5.1153882137803315
stan,0,50,5.085837194741734,5.113702101512548
stan,0,52,5.084611900059272,5.112629918441817
stan,0,54,5.084418897424435,5.111620038054025
stan,0,57,5.069215393636826,5.109766935879825
stan,0,60,5.062260941859104,5.10752643997836
stan,0,63,5.061167271652912,5.105421768519045
