ppl,trial,sample,log_predictive,average_log_predictive
stan,0,1,0.0,0.0
stan,0,2,0.0,0.0
stan,0,3,0.0,0.0
stan,0,4,0.0,0.0
stan,0,5,0.0,0.0
stan,0,6,0.0,0.0
stan,0,7,0.0,0.0
stan,0,8,0.0,0.0
stan,0,9,0.0,0.0
stan,0,10,0.0,0.0
stan,0,11,0.0,0.0
stan,0,12,0.0,0.0
stan,0,13,0.0,0.0
stan,0,14,0.0,0.0
stan,0,15,0.0,0.0
stan,0,16,0.0,0.0
stan,0,17,0.0,0.0
stan,0,18,0.0,0.0
stan,0,19,0.0,0.0
stan,0,20,0.0,0.0
stan,0,21,0.0,0.0
stan,0,22,0.0,0.0
stan,0,23,0.0,0.0
stan,0,25,-50.62548479657169,-0.08004270767353638
stan,0,26,0.0,-0.07696104113612856
stan,0,27,0.0,-0.07410797215372167
stan,0,28,0.0,-0.07145896398214502
stan,0,30,0.0,-0.06669137449867213
stan,0,31,0.0,-0.06453852113757108
stan,0,33,0.0,-0.06062462181643502
stan,0,34,0.0,-0.058840500022933284
stan,0,36,0.0,-0.055569851154810834
stan,0,38,0.0,-0.05264373348542195
stan,0,39,0.0,-0.05129329438755059
stan,0,41,0.0,-0.04879016416943216
stan,0,43,0.0,-0.04652001563489261
stan,0,45,0.0,-0.04445176257083405
stan,0,47,0.0,-0.04255961441879608
stan,0,50,0.0,-0.04000533461369926
stan,0,52,0.0,-0.03846628082779624
stan,0,54,0.0,-0.03704127168034921
stan,0,57,-32.22169497375113,-0.09015109699429713
stan,0,60,-40.313532532233815,-0.12188281312569105
stan,0,63,0.0,-0.1335246383003481
stan,0,66,0.0,-0.1271487646001832
stan,0,69,0.0,-0.12135475632237469
stan,0,72,0.0,-0.11606635213997496
stan,0,75,0.0,-0.11122007272229517
stan,0,79,0.0,-0.10535526229063663
stan,0,83,0.0,-0.10007848168211453
stan,0,87,0.0,-0.09530545177261285
stan,0,91,0.0,-0.09096727531787518
stan,0,95,-5.4950153042146015,-0.09838851739468257
stan,1,1,0.0,0.0
stan,1,2,0.0,0.0
stan,1,3,0.0,0.0
stan,1,4,0.0,0.0
stan,1,5,0.0,0.0
stan,1,6,0.0,0.0
stan,1,7,0.0,0.0
stan,1,8,0.0,0.0
stan,1,9,0.0,0.0
stan,1,10,0.0,0.0
stan,1,11,0.0,0.0
stan,1,12,0.0,0.0
stan,1,13,0.0,0.0
stan,1,14,0.0,0.0
stan,1,15,0.0,0.0
stan,1,16,0.0,0.0
stan,1,17,0.0,0.0
stan,1,18,0.0,0.0
stan,1,19,0.0,0.0
stan,1,20,0.0,0.0
stan,1,21,0.0,0.0
stan,1,22,0.0,0.0
stan,1,23,0.0,0.0
stan,1,25,0.0,0.0
stan,1,26,0.0,0.0
stan,1,27,0.0,0.0
stan,1,28,0.0,0.0
stan,1,30,0.0,0.0
stan,1,31,0.0,0.0
stan,1,33,-1.321165399303849e-13,-3.9968028886505635e-15
stan,1,34,0.0,-3.552713678800501e-15
stan,1,36,0.0,-3.552713678800501e-15
stan,1,38,0.0,-3.552713678800501e-15
stan,1,39,0.0,-3.1086244689504383e-15
stan,1,41,0.0,-3.1086244689504383e-15
stan,1,43,0.0,-3.1086244689504383e-15
stan,1,45,0.0,-3.1086244689504383e-15
stan,1,47,0.0,-0.021053397349461545
stan,1,50,0.0,-0.01980261615871104
stan,1,52,0.0,-0.019048184261590162
stan,1,54,0.0,-0.018349128355725774
stan,1,57,0.0,-0.017391732942159344
stan,1,60,0.0,-0.01652929266998715
stan,1,63,0.0,-0.015748348128878042
stan,1,66,0.0,-0.015037868927064046
stan,1,69,0.0,-0.014388729381470178
stan,1,72,0.0,-0.013793314397982037
stan,1,75,0.0,-0.013245219325041191
stan,1,79,0.0,-0.012578775157829014
stan,1,83,0.0,-0.011976184337396667
stan,1,87,-37.44089527434296,-0.04652000900544806
stan,1,91,-39.2066010676925,-0.09097177157628167
stan,1,95,0.0,-0.08701137066152231
stan,2,1,0.0,0.0
stan,2,2,0.0,0.0
stan,2,3,-3.723688024592082e-13,-9.303668946358812e-14
stan,2,4,-6.452460787689791e-11,-1.2979173291682855e-11
stan,2,5,-6.452460787689791e-11,-2.1570079056232316e-11
