ppl,trial,n_eff,num_unique,compile_time,inference_time
stan,0,33.146671295166016,11,51.18640422821045,0.9529218673706055
stan,1,15.830453872680664,7,51.18640422821045,0.11539673805236816
stan,2,62.31129455566406,14,51.18640422821045,0.13533544540405273
stan,3,51.89131546020508,5,51.18640422821045,0.08946943283081055
stan,4,37.727294921875,14,51.18640422821045,0.14731287956237793
stan,5,28.11643409729004,9,51.18640422821045,0.15009284019470215
stan,6,50.27463912963867,3,51.18640422821045,0.11848211288452148
stan,7,51.35617446899414,9,51.18640422821045,0.16516637802124023
stan,8,50.50226593017578,14,51.18640422821045,0.1996762752532959
stan,9,35.09407043457031,8,51.18640422821045,0.07932305335998535
